dominio,ocorrencias
Josaphat, onde dormem em seus sepulcros caiádos as ossadas dos profetas e,1
patriarchas.,1
Lá ao longe, no fundo do quadro e sobre terreno irregular, alonga-se a,1
cidade de Jerusalem com as suas casarias de configuração muito geometrica,,1
amontoadas como um forte punhado de dados. Mal se distinguem as ruas,1
estreitas, com apparencia suja nas velhas cantarias.,1
A cidade vae n'um plano ascendente, que se quebra para lá da encosta:--é,1
ali a antiga Sião do tempo do grande rei David. Mais clara, vem descendo a,1
cidade nova, terminando junto do Monte Moriah onde, segundo diz a lenda,,1
Abrahão esteve prestes a immolar seu filho Isaac, em sacrificio ao Senhor.,1
Por isso n'aquelle monte se alevanta, mudo como um misterio, o grande,1
Templo, a casa do Deus que «foi, é e ha-de ser»: _Jehovat_. A Torre,1
Antonia, a um dos angulos do vastissimo quadrado, que fecha o recinto,1
vedado a profanos, é como uma sentinella de Tiberio, na sua attenta,1
quietação.,1
Para alem da cidade, a perder de vista, alonga-se o campo inculto, onde o,1
carrasco e a urze predominam, e onde raras palmeiras deixam pender suas,1
folhas esfarrapadas. Pequenos logarejos clareiam aqui e ali; muito nos,1
longes, divisa-se a collina de Mizpa e a cordilheira de Gabaão entestando,1
no firmamento azul e alegre.,1
Vae declinando o sol d'uma formosa tarde do começo da primavera, que,1
entorna regaços de seiva, de canticos e de cores por sobre todo o,1
harmonioso quadro. A brisa, ainda morna, traz-nos o aroma dos trigaes, de,1
mistura com o resinoso do matto, que morenisa a pelle e põe nos labios um,1
sabor acre. Os rebanhos tilintam vagamente; vão cantando na estrada as,1
cotovias.,1
GAMALIEL, que chegou da cidade, arrimado ao seu bordão, as barbas brancas,1
doiradas pelo sol, dirige-se á casa de Simão, e, clamando:,1
Eleazar, meu caro, honrado ebionita,,1
Recebe de um amigo a cordeal visita.,1
ELEAZAR assomou logo a uma das janellas. É um rapaz de vinte e tantos,1
annos, franzino e melancólico.,1
És tu, Gamaliel? Que idéa bemfaseja,1
Teus passos dirigiu assim, para que eu veja,1
Á porta do modesto e humilde lavrador,1
Aquelle que possue o nome de doutor,1
Notavel e profundo?,1
É pobre a moradia,,1
Amigo?--Não encerra a vil hypocrisia,,1
Ornamento dos maus e da nefanda casta,,1
Que faz do sacerdocio uma arma. Isto me basta.,1
É que a virtude leva ás almas refrigerio,1
Tal, como á flôr o pranto envolto no misterio;,1
Pranto suave, meigo e virginal e ardente,,1
Que uma estrella chorou silenciosamente...,1
É que a bondade espalha a sua luz divina,1
E pura, como o Sol que a todos illumina...,1
E baixinho, encostando-se ao peitoril da janella onde Eleazar se,1
conservou:,1
O que tenho a dizer-te é coisa de segredo.,1
Escuta-me portanto aqui.,1
Porquê? Tens medo,1
De que minhas irmãs...?,1
O assumpto é muito grave,,1
E receio que a dôr ainda mais se crave,1
Nas almas feminis do que na tua.,1
Bem o comprehendeu Eleazar. Eil-o que se retira da janella, e saíndo de,1
casa, accode logo ao secreto chamamento.,1
Amigo,,1
Uma nova cruel:--o Mestre...,1
ELEAZAR, estremecendo,1
Algum perigo,1
É imminente?,1
Aquella estupida gentalha,1
Ridicula, mesquinha, hipocrita e canalha,1
Prepara com misterio o plano vingador,,1
E está na posição terrivel do condôr,,1
Pairando ao ver a presa incauta. A esta hora,,1
Em casa de Kaiapha...--É sabbado hoje? Embora!,1
--... O Conselho procura, extravasando o fel,,1
Garantir-se o poder no povo d'Israel.,1
Prendendo o Mestre?,1
Sim! Razões tem para tudo,1
O seu pensar feroz, indómito e agúdo!,1
Amor divino? Qual! Apenas o receio,1
De perder o logar no execravel meio:,1
D'um lado, a ambição, por mais que abuse e coma,,1
E d'outro o servilismo ás leis que vem de Roma!,1
N'um brusco movimento deixou transparecer todo o rancor que o domina e,1
que se expande, emfim, n'uma invocação:,1
A Virgem de Sião suspira ha muito já!...,1
--Ó terra de Jacob! Heroes de Josaphat!,1
Que é feito do vigor da tua fala, Isaías?,1
E das lamentações sinceras, Jeremías?,1
Profeta Ezequiel, a tua voz potente,1
Jámais ribombará por todo o Oriente,,1
Fazendo estremecer o despota cezareo,,1
Como o gládio de Deus, terrivel, incendiario,,1
Que na vasta amplidão a olhar o mundo assôma,,1
Que sepultou Gomorrha e destruiu Sodôma?!,1
ELEAZAR, com o olhar vago:,1
Vergonha! opprobrio!...,1
GAMALIEL, que enxugára á manga da tunica uma santa lagrima de,1
enthusiasmo civico:,1
Ai! desde que um idumeu,1
Conseguiu transviar o nobre povo, o hebreu,,1
E nos hombros depoz o manto purpurino...,1
Maldito! que deixaste um rasto viperino,,1
Um rasto de peçonha! Infame! Rei protervo,,1
O teu nome recorda o luto e um acervo,1
De horrores!--Certo dia, ousaste no portal,1
Da casa do Senhor dar poiso á _immortal_,1
Aguia romana!...--Vil, nascido de idumeus,,1
O Cezar tambem morre: a aguia eterna é Deus!,1
... Que tristeza, ao pensar n'uma tão negra historia!,1
--Do nome do tiranno o filho honra a memoria.,1
Surge um brado, a Nação protesta, grita, lucta...,1
Afinal, para quê? sem forças, dissoluta?...,1
--Eu vi por toda a parte erguerem-se madeiros;,1
Vi morrerem na cruz milhões de prisioneiros,,1
Gritando «Jehovat!» nas ancias da agonia!,1
E ao passo que na morte o hebreu se contorcia,,1
E filhas e mulher's davam á luz o pranto,,1
O incendio voraz lavrava o Logar Santo!,1
--Depois?... Depois mais nada. O Cezar nos esmaga,,1
Revolvendo o punhal na apodrecida chaga!,1
Seja procurador Coponio, ou seja Marco,,1
Ou Rufo, ou Grato, ou Poncio, a nação é um charco,1
Onde vivem, senís, as rãs do servilismo...,1
É provincia romana; e viva o cezarismo!,1
E ri amargamente n'uma cascalhada ironica de velho rabbino, apertando,,1
convulso, o cajado na mão ossuda onde as veias resaltam.,1
ELEAZAR, suggestionado pelas palavras do velho:,1
Não! não! Resurgirás, eleita do Senhor,,1
D'esta funda apathía e d'este grande horror!,1
Judéa, serás livre! Elias não morreu,,1
Porque revive n'um que tem o verbo seu,,1
E elle ha de trazer a guerra e o exterminio!,1
Se é branco o seu vestido, ai! pode ser sanguineo!...,1
Abaterás o orgulho, o despotismo, a infamia!,1
O povo quer vingança atroz: pois bem, derrame-a,1
Sem minimo temor da colera dos ceus!,1
GAMALIEL, n'um clarão de esperança:,1
Já temos o preciso: um _Homem_!,1
MARIA, que tinha saído de casa e que ouviu as ultimas palavras:,1
Não!--Um _Deus_!,1
Alta, morena, olhos negros, de languidez oriental. Negras devem ser,1
tambem as suas tranças occultas a olhares mundanaes. As roupagens,1
escuras, que lhe descem até aos pés, cáem suavemente em prégas regulares,1
e castas como as de Suzanna. O seu olhar é sempre vago e tranquillo; os,1
seus gestos sempre em accordo com as serenas emoções da alma.,1
É bello o teu falar, mas como de cegueira,1
Pelo amor patrio estás vencido! De maneira,1
Que apenas bastaria um pulso valoroso,1
Para despedaçar o monstro ambicioso,1
De fausto e de poder que se revolve além,,1
N'aquella babylonia? Então, Jerusalem,,1
Movida por um braço, embora resoluto,,1
Poderia colher o ambicionado fructo,1
Da plena liberdade em meio da revolta?,1
--Vae longe, muito longe, o tempo... que não volta!,1
A Judéa prefére a honra em mil pedaços,,1
Cheia de timidez, crusando inerme os braços,,1
Inhabil para a lucta e com horror á morte...,1
A tribu de Levy, aquella cujo porte,,1
Sendo mais senhoril e nobre, inspiraria,1
Coragem ao vencido e alguma simpathia,1
Ao vencedor, que faz? Conspira contra o povo.,1
--Onde encontraste, irmão, o excitante novo,,1
Que possa dar alento a quem succumbe exangue,,1
Que os nervos fortaleça e retempére o sangue?,1
Ha sempre em casos taes...,1
a força d'um athleta!,1
Tem muito mais poder o verbo d'um profeta!,1
Ha de ser elle, sim! prégando a perfeição,1
Das coisas divinaes a toda a multidão,,1
Que se contorce afflicta em negro paroxismo,,1
Descrente de Moysés, propensa ao paganismo.,1
Nem ferro, nem madeiro: apenas a palavra,,1
Que ao entranhar-se em nós suavemente lavra,,1
Pesada, como o arado á terra bemfasejo,,1
Subtil, como o poisar castissimo d'um beijo!,1
E quem te diz que não? Eu julgo indifferente,1
Que tenhamos no Mestre aquelle descendente,1
Do nome de David ao mundo promettido,1
Pelo Senhor. Amal-o é todo o meu sentido.,1
Porque bem vejo a força enorme, o poderío,1
Que exerce na cidade. É mais que prestadío,1
Á Patria um homem tal!,1
A sua mão convulsa,,1
Brandindo um azorrague, os vendilhões expulsa,1
Para longe do sitio ás preces consagrado...,1
E o seu falar murmúra ás vezes tão magoado!...,1
--Regenéra a mulher atreita ás bacchanaes,1
E que mercadejava as graças corporaes;,1
Ascende até o amor aos pobres, ás creanças,,1
Aos tristes e aos nús, e dá mil esperanças,1
N'um reino que elle sabe e que ninguem conhece...,1
Quando, porem, troveja irado, mais parece,1
Que vibra no seu peito a propria voz de Deus!,1
Oh! sim! que é de temer o divinal prestigio!...,1
Que deixa em seu caminho um profundo vestigio...,1
GAMALIEL, ao ouvido de Eleazar, aproveitando o ensejo dado por Maria,,1
que foi sentar-se junto da fonte:,1
Mas o povo nem sempre acceita um bom aviso,,1
E Deus pode morrer... quando fôr mais preciso.,1
ELEAZAR, com o intuito de afastar o negro pensamento, que a todos trez,1
opprime no intimo:,1
O Mestre não virá. Alegra-me a certeza,1
De que foge ao Conselho a ambicionada preza.,1
Começa em breve a Paschoa, e entre os forasteiros,1
Ainda não chegou nem um dos companheiros,1
Do Mestre.,1
Vae o Sol no termo da viagem:,1
Torno para a cidade.,1
E novamente em segredo:,1
Eleazar, coragem!,1
No teu silencio tens a minha vida e a tua.,1
ELEAZAR, abeirando-se muito a elle, supplicante:,1
Se te constar, porem, que o plano continúa,1
E mais se desenvolve...,1
Hei de dizer-te, amigo.,1
ELEAZAR, saúdando-o:,1
Que não te fuja Deus!,1
GAMALIEL, saúdando-o:,1
Fique o Senhor comtigo!,1
Saúda tambem Maria, e, retomando o caminho da cidade, vae-se ao longo da,1
estrada, um pouco alquebrado, cadenciando os passos pelo bater do bordão,1
no solo poeirento.,1
ELEAZAR sentou-se no tronco d'arvore, pensando; e, como respondendo aos,1
proprios pensamentos:,1
Ninguem pode roubal-o á proxima agonía.,1
Morrerá na cidade. A horrivel profecia,1
Aponta-lhe, cruel, a inevitavel a sorte...,1
Ha muito que de longe anda a espreital-o a morte!,1
Martha e Simão de Bethania saíram de casa. Ella é uma rapariguita de,1
desoito annos, irrequieta, buliçosa, muito infantil; elle, um velho cujo,1
cabello e barba ha muito branquearam; nas mãos o trabalho da lavoura,1
poz-lhe grossos callos e deformou-lhe os dedos; e no rosto a lépra,1
deixou-lhe vestigios indeleveis em manchas avermelhadas.,1
No que pensa o meu irmão?,1
Em nada penso.,1
Duvido.,1
Ha n'esse olhar definido,1
Vislumbre d'inquietação.,1
Se tu pensas na lavoura,,1
Fazes mal, que o dia de hoje,,1
Emquanto o Sol não nos foge,,1
Prohibe que, scismadora,,1
A mente se occupe assim,1
De coisas que não respeitam,1
A Deus.,1
MARIA, em longa abstracção, junto da fonte, como se ninguem a ouvisse:,1
Aquelles que engeitam,1
O pensar, mesmo o ruim,,1
São como as ondas brutaes,,1
Que lançam á rocha dura,1
A espuma de cuja alvura,1
Ellas são as mães e os paes...,1
SIMÃO, chasqueando-a, mas com meiguice:,1
Sempre has de ser renitente,1
Em respeitar a doutrina,1
De Moysés!,1
MARIA, com amargo sorriso:,1
O que ella ensina,1
É por vezes incoherente.,1
De ouvil-a já estou cançada,,1
E nem assim me convence.,1
MARTHA encostada ao hombro do irmão, que se conserva sentado:,1
Não falas?,1
Deixa-o! Que pense,,1
Uma vez que isso lhe agrada!,1
Mas como sois curiosos,1
Do que se passa por fóra,1
De vossas almas!,1
Agora,1
Vem discursos lamentosos,,1
Recriminações, aposto!,1
Grande mau!,1
ELEAZAR sorrindo contrafeito:,1
Grande creança!,1
MARTHA picada no seu amor proprio:,1
Não te inspiro confiança?,1
ELEAZAR condescendente:,1
Inspiras, sim.,1
Pois não gosto,1
De segredos--Que tristeza!...,1
Não percebo! Porque, em summa,,1
Não vejo razão nenhuma,1
Para tal! Não ha riqueza?,1
A nossa vida, porem,,1
É feliz; a privação,1
Nunca nos veio affligir,,1
Nem ameaça o porvir,,1
Não é verdade? Simão,,1
Este bom velho leal,,1
Que tanto e tanto nos ama,,1
Dá-nos meza, casa, cama,,1
E conselho paternal;,1
Tu retribues a amizade,,1
Auxiliando-o na vida.,1
Achámos uma guarida,1
Nas trevas da orfandade:,1
Temos familia! Por isso,1
Para nós a vida é clara,1
Assim como a luz. A seara,1
É verdadeiro macisso,1
De pão; agua na fonte;,1
Lenha nas faldas do monte...,1
Nada vejo, d'importancia,,1
Que não tenhamos. Então,,1
Quero saber o motivo,1
Por que estás tão pensativo...,1
E rindo muito:,1
E com cara de chorão!,1
E tenho de que sorrir?,1
MARIA em longa abstração, como se ninguem a ouvisse:,1
Quem pensa é como quem sonha...,1
E como a vida é risonha,,1
Quando se pode dormir!...,1
ELEAZAR perseguido pelo olhar inquiridor de Martha:,1
A minha alma atribulada,1
Profundo misterio aninha...,1
Sê caridosa, irmãsinha,,1
Não me perguntes mais nada!,1
MARTHA afastando-se logo com muito despeito:,1
Ai! não pergunto!,1
SIMÃO que de parte estivera rindo dos dois:,1
Uma idéa,,1
Que talvez seja bem dita:,1
Vou fazer uma visita,1
Ao José d'Arimathéa.,1
Vem commigo. Pode ser,1
Que tenhas n'este passeio,1
O prompto e seguro meio,1
Da tristeza espairecer.,1
Dizes bem.,1
Acceitas?,1
Sim.,1
Afinal é sempre o velho,1
Quem dá o melhor conselho!,1
ELEAZAR ás irmãs:,1
Adeus!,1
E beijando Martha, que o evita d'arremeço:,1
Tu foges de mim?,1
Não vens beijar-me, teimosa!,1
É então uma vingança?,1
MARTHA, deixando explodir o seu despeito:,1
São arrufos... de _creança_!,1
ELEAZAR beijando-a á viva força:,1
São os espinhos da rosa!,1
Vão-se Eleazar e Simão. Succede grande silencio.,1
MARTHA foi á beira da estrada e segue-os com o olhar. Depois,,1
appreensiva, com vago receio:,1
Nunca o vi assim como hoje...,1
MARIA em longa abstracção, como se ninguem a ouvisse:,1
«Espairecer»... Puro engano!,1
O pensamento não sae...,1
É como a sombra que vae,1
Correndo atraz de quem foge...,1
MARTHA que lançou para longe a tristeza, despertada pelo cantar mais,1
proximo d'uma cotovia.,1
Como o tempo está formoso,1
E se prepara, amoroso,,1
Para a Paschoa d'este anno!,1
N'uma corrida, eil-a junto da irmã que ficára sentada á beira da fonte.,1
Um beijo resôa na face de Maria e logo aos pés d'esta se senta Martha.,1
Achamos isto um encanto!,1
Como elles acham, porem,,1
Que tudo é feio.,1
Elles, quem?,1
MARTHA com o cotovello apoiado no joelho de Maria, o olhar limpido,1
erguido para o olhar da irmã:,1
Os Dose, que gostam tanto,1
De dizer mal de Judá.,1
A Galiléa! Não ha,1
Para elles outro mundo!,1
Têem sincera affeição,,1
Tributam amor profundo,1
Ao paiz de Salomão!,1
MARIA desculpando-os:,1
A sua terra natal...,1
--Todos dizem que em verdade,1
É um paiz ideal,1
A Galilêa.,1
Quem ha de,1
Duvidar, se elle inspirou,1
Os galanteios doirados,1
D'aquelles apaixonados...,1
--Como elles, ninguem amou!,1
Depois de alguma hesitação reconstituiu na memoria o cantico, e,1
recita-o, com um sorriso humido nos labios, em tom plangente, repassado,1
de languidez. Maria quedou o olhar no fio d'agua, e vae brincando com,1
elle, deixando-o deslisar por entre os dedos finos e alongados.,1
«É formoso o meu amante,,1
Formoso como nenhum,,1
E como o cédro elegante...,1
É formoso o meu amante,,1
Formoso como nenhum...,1
«São de perfumes e odores,1
Suas faces purpurinas,,1
Dois ramalhetes de flores...,1
E suas mãos dois primores,1
Das pedrarias mais finas.,1
«O seu corpo deslumbrante,1
Do marfim o brilho tem...,1
--Eu aqui... Elle distante...,1
Onde está o meu amante,,1
Filhas de Jerusalem?»,1
Olhando de fito para a irmã:,1
Esta idéa é mesmo linda!,1
MARIA com frieza, como a da corrente d'agua que entre os seus dedos vae,1
deslisando:,1
Amôres...,1
Muito falados!,1
Olha que outros bem-amados,1
Como estes não houve ainda!,1
E quando elle se transporta,,1
Descrevendo a sua amante?,1
Não pode ser mais galante!,1
Queres ouvir?,1
Que m'importa!...,1
«És formosa entre as formosas!,1
Tens no rosto duas rosas...,1
És formosa entre as formosas!,1
«Duas pombas tens no olhar,1
Onde transluz a bondade.,1
Os teus cabellos sem par,1
Fazem-me sempre lembrar,1
As cabrinhas de Galaad...,1
«Tua bocca é tão fagueira!,1
Quando sorrís com ternura,,1
Julgo vêr n'uma ribeira,,1
Unidinhas em fileira,,1
Ovelhas de casta alvura!,1
«Oh! que suaves martirios,1
Em tuas caricias francas!,1
São teus seios--que delirios!,1
--Como duas corças brancas,1
A pastarem entre os lirios!»,1
Indiscretos ouviram Martha desde o meio da recitação. Claudia e o seu,1
sequito passavam pela estrada, e a curiosidade fez que a mulher de,1
Poncio Pilado detivesse os lecticarios com um gesto. Apeou-se da,1
liteira; sem ser presentida, avançou, cautelosa, e com ella a sua,1
escrava e confidente Geda.,1
Os soldados que escoltam a liteira ficaram immoveis; e o sol poente,,1
avermelhando-lhes as couraças e os capacetes, parece tel-os transformado,1
em estatuas de sangue. Na mão de um d'elles, que á frente caminhava,,1
brilha o pilo de oiro, emblema heraldico da casa de Poncio.,1
Claudia é uma mulher alta e formosa, cujo rosto a idade ainda não,1
enrugou, mas do qual fugiram as rosadas côres da mocidade, que a pintura,1
e o artificio em vão tentam simular. Typo de matrona donairosa, fanatica,1
do deus Phallus, tomando por modelo no amor a divina Julia, consorte de,1
Tiberio, illustre messallina--_lassata, sed non satiata_. A tunica azul,1
celeste apertada pelo largo cinto de oiro contorna-lhe a base do tronco,1
esculptural. Um diadema, egual aos braceletes, que se lhe enroscam na,1
carne, refulge no ebano de seus cabellos, e dá-lhe a majestade olympica,1
do perfil das medalhas de Agrippina.,1
CLAUDIA em tom faceto de cortezã affeita ao jogo de gracejos nos,1
triclinios de má nota da velha Roma:,1
Ergueu-se Maria em sobresalto, e, reconhecendo a mulher de Poncio,,1
dirige-se apressada para casa, levando comsigo a irmã; mas á porta,1
detem-se.,1
Que formosa poesia,1
Cheia de amor e de melancolia!,1
Ha quem diga no Lácio,1
Que é impossivel encontrar primores,1
Que não sejam de Ovidio nos «Amores»,1
Nos «Epodos» de Horacio...,1
--É que ninguem conhece quanto val',1
A doce poesia oriental!,1
--Isso é de Salomão?,1
MARTHA muito a mêdo:,1
Senhora...,1
Pois eu sou tão lisongeira,,1
Para ouvir-te apeei-me da liteira...,1
E foges?--A razão?,1
E como não colhesse resposta, prosegue sardonicamente:,1
Tambem me odeias, tu, gentil creança?,1
--Quando ha de fazer-se uma alliança,1
Entre Roma e Judéa?,1
Ganhariamos todos, com certeza:,1
Nós, simpathia; vós, delicadeza.,1
Darei a Poncio a idéa.,1
Olhando de fito para Maria, que permaneceu immovel com labios contraídos,1
e os punhos cerrados:,1
Conheces-me tambem?,1
MARIA por entre dentes:,1
Se não me engano, a tua alma sente,1
Por mim o mesmo affecto...,1
Mas que mal vos fiz eu? Por ser casada,1
Com Poncio, devo estar acorrentada,1
A um odio tão directo?,1
MARIA fitando-a resoluta, mas serena:,1
É que tu desconheces o rancor,1
Que tem toda a Judéa ao vencedor!,1
Fossem mil as nações,1
Caídas sobre nós! Odio profundo,1
Teriamos então a todo o mundo,1
E ás suas gerações!,1
--Ninguem pediu que ouvisses o falar,1
Da minha irmã. De mais, vindo escutar,1
Fizeste muito mal...,1
És Claudia; quer dizer: alguma coisa,1
Que nos merece tédio, e que repoisa,1
Sobre um vil pedestal,1
Todo feito de lama e impudicicia!,1
Justamente porque és uma patricia,1
Deves ter o criterio,1
De não brincar co'as cinzas ainda quentes,,1
Porque nós detestamos intendentes,1
E amantes de Tiberio!,1
Dois soldados olham rapidos para Claudia e logo n'um movimento impulsivo,1
de mercenarios servis apoderam-se de Maria, que não resiste. Martha,1
soltou um grito; succedeu-lhe longo silencio interrompido apenas pelo,1
murmurio da agua e pelo chôro suffocado de Martha, que não desamparou a,1
irmã.,1
CLAUDIA deixando cair as palavras uma a uma, como gôtas de chumbo,1
derretido:,1
Terrivel quando odeio, e meiga quando estimo.,1
A todo o sentimento o da maldade encimo,,1
Se acaso á minha face o insulto e o desdem,1
Me forem arrojados por alguem!,1
Uma frase, um olhar--tanto me basta;,1
Pois como sou nervosa, em mim logo se engasta,,1
Qual sanguineo brilhante, a fébre da matança,,1
Dos deuses o prazer dulcissimo: a Vingança!,1
Mas em rapido movimento, como obedecendo a pensamento occulto, faz,1
signal aos soldados, que logo abandonam Maria. Depois, com acerado,1
sorriso de maldade:,1
Agradece, mulher, a mim e ao teu Deus,1
Esta disposição d'espirito, e os meus,1
Bons nervos hoje; e grava, em summa, na memoria,1
Que o insulto nem sempre é uma gloria!,1
MARIA muito vexada pela insultante benevolencia de Claudia:,1
Eu não pedi perdão...,1
CLAUDIA victoriosa pelo effeito que o perdão causou no animo,1
independente da patriotica filha d'Israel:,1
E quem diz tal, judía?,1
Fui eu que perdoei...--Offendes-te?,1
MARTHA supplicante ao ouvido da irmã, que ia responder:,1
Maria...,1
CLAUDIA rindo, satisfeita, feliz:,1
_Maria_... Nome formoso,,1
Que tem um rythmo éoleo!,1
Merece logar honroso,,1
Por Jove, no Capitolio!,1
E volta para a liteira.,1
A ESCRAVA GEDA ajudando-a a accomodar-se nas almofadas da liteira:,1
Nunca te vi assim...,1
Diverte me a bondade,,1
Ás vezes...,1
O CENTURIÃO AMPÍO ao sequito:,1
A caminho!,1
Os lecticarios põem a liteira aos hombros.,1
Á porta da cidade,1
Haveremos de estar antes da noite. Anceio,1
Por que termine em bréve este infeliz passeio,,1
Sem novo encontro mau.--Ó palida judía,,1
Pode ser que eu te veja ainda... Até um dia,1
Tem saúde até lá, que o ferro vingador,1
Detesta a gente magra, e tem maior furor,1
Ao trespassar um cólo arredondado e terno...,1
Descansa: não hei de ir incommodar-te ao inferno!,1
Claudia solta uma gargalhada, correspondida n'um murmurio pela,1
soldadesca; e Maria, affagando Martha, que não cessou de chorar, leva-a,1
comsigo para casa.,1
Apparecem então os fariseus Benjamim e Josué, cautelosos, o olhar,1
obliquo circumdando o terreno, como bons espiões: concretisação grotesca,1
da hipocrisia sacerdotal da época. Mantos negros, andar pausado, mitras,1
de feitio semelhante á dos outros judeus, mas de maior dimensão. Debaixo,1
dos braços, os rôlos de Escriptura. Compostura beatifica. Benjamim, um,1
pouco alquebrado, por calculo, parece não querer levantar do chão o,1
olhar para as coisas superiores ao pó da terra; Josué, pelo contrario,,1
conserva-os erguidos ao ceu como para não os baixar ás coisas mundanaes.,1
Claro é que de quando em quando a compostura perde-se, e os velhacos,1
manifestam-se.,1
Não ha que duvidar: chegaram todos.,1
Viste bem, Benjamim? seria engano...,1
Engano o que? Se affirmo, se até juro,1
Ter visto o Mestre e os dose companheiros.,1
Tomaram pela horta do Simão,,1
E em bréve hão de estar n'aquella casa.,1
E approxima-se da casa do _Leproso_. Detem-se; prestando attenção, ouve,1
a distancia o murmurio festivo do povo que, saúda com _Hossannas!_ a,1
chegada do Rabbi da Galiléa.,1
Eu não te digo?... O povo já começa,1
A correr ao encontro. Dentro em pouco,,1
Vae por esta Bethania uma celeuma,,1
Que nem no Templo em dia de festejo!,1
